country,Ladder,SD of Ladder,Positive affect,Negative affect,Social support,Freedom,Corruption,Generosity,"Log of GDP
per capita","Healthy life
expectancy",year,population,population_grow,population_under_14,population_above_65,gdp,gdp_growth_rate,unemployment,education_gov_expenditure,health_expenditure,life_expectancy_fem,life_expectancy_male,non_commun_disease_death,commun_disease_death,tuberculosis,hiv,infant_mortality,undernourishment,hospital_beds,physicians,GDP/C,life_expectancy_mean,Latitude,Longitude,continent
Finland,1,4,41.0,10.0,2.0,5.0,4.0,47.0,22.0,27.0,2019.0,5515525.0,0.13,16.15,21.72,252247.0,2.8,8.1,7.1,9.5,84.6,79.2,,,4.7,0.1,2.1,,,3.8,45733.996310414695,81.9,63.2467777,25.9209164,Europe
Denmark,2,13,24.0,26.0,4.0,6.0,3.0,22.0,14.0,23.0,2019.0,5793636.0,0.5,16.46,19.81,329866.0,2.3,5.3,7.6,10.4,83.4,79.4,,,5.4,0.1,3.5,,,4.5,56935.920724049625,81.4,55.670249,10.3333283,Europe
Norway,3,8,16.0,29.0,3.0,3.0,8.0,11.0,7.0,12.0,2019.0,5311916.0,0.66,17.55,17.05,399470.0,2.0,3.8,7.6,10.5,84.4,81.3,,,4.1,0.1,2.4,,,4.6,75202.61992094755,82.85,61.1529386,8.7876653,Europe
Iceland,4,9,3.0,3.0,1.0,7.0,45.0,3.0,15.0,13.0,2019.0,352721.0,2.68,19.83,14.8,24477.0,4.0,2.9,7.7,8.3,84.3,81.1,,,2.7,0.1,1.6,,,4.0,69394.79078365053,82.69999999999999,64.9841821,-18.1059013,Europe
Netherlands,5,1,12.0,25.0,15.0,19.0,12.0,7.0,12.0,18.0,2019.0,17231624.0,0.58,16.11,19.2,830573.0,3.2,3.4,5.4,10.4,83.4,80.2,,,5.3,,3.5,,,3.5,48200.50623203014,81.80000000000001,52.2434979,5.6343227,Europe
Switzerland,6,11,44.0,21.0,13.0,11.0,7.0,16.0,8.0,4.0,2019.0,8513227.0,0.72,14.91,18.62,678938.0,1.6,4.7,5.1,12.2,85.6,81.6,,,6.4,,3.9,,,4.2,79750.95695204652,83.6,46.7985624,8.2319736,Europe
Sweden,7,18,34.0,8.0,25.0,10.0,6.0,17.0,13.0,17.0,2019.0,10175214.0,1.16,17.58,20.1,535607.0,2.1,6.3,7.6,10.9,84.1,81.0,,,5.5,,2.4,,,5.4,52638.40151175199,82.55,59.6749712,14.5208584,Europe
New Zealand,8,15,22.0,12.0,5.0,8.0,5.0,8.0,26.0,14.0,2019.0,4841000.0,0.98,19.65,15.65,202044.0,2.8,5.2,6.3,9.2,83.6,80.2,,,7.3,0.1,4.4,,,3.0,41736.00495765338,81.9,-41.5000831,172.8344077,Oceania
Canada,9,23,18.0,49.0,20.0,9.0,11.0,14.0,19.0,8.0,2019.0,37057765.0,1.4,15.87,17.23,1647120.0,3.0,5.9,5.3,10.5,84.1,79.9,,,5.6,,4.6,,,2.6,44447.364810047235,82.0,61.0666922,-107.991707,North America
Austria,10,10,64.0,24.0,31.0,26.0,19.0,25.0,16.0,15.0,2019.0,8840521.0,0.49,14.3,19.0,416836.0,2.6,5.4,5.5,10.4,84.0,79.4,,,7.1,,3.3,,,5.1,47150.61476580396,81.7,47.59397,14.12456,Europe
Australia,11,26,47.0,37.0,7.0,17.0,13.0,6.0,18.0,10.0,2019.0,24982688.0,1.54,19.19,15.66,1408676.0,2.9,5.5,5.3,9.3,84.9,80.7,,,6.6,0.1,3.6,,,3.6,56386.0862369974,82.80000000000001,-24.7761086,134.755,Oceania
Costa Rica,12,62,4.0,87.0,42.0,16.0,58.0,75.0,67.0,28.0,2019.0,4999441.0,0.99,21.32,9.55,57565.0,3.2,7.9,7.4,7.6,82.73,77.54,,,10.0,0.4,9.3,,,1.1,11514.287297319841,80.135,10.2735633,-84.0739102,North America
Israel,13,14,104.0,69.0,38.0,93.0,74.0,24.0,31.0,11.0,2019.0,8882800.0,1.93,27.93,11.98,353268.0,3.5,3.8,5.9,7.3,84.8,80.9,,,4.0,0.2,3.4,,,3.2,39769.892376277756,82.85,30.8124247,34.8594762,Asia
Luxembourg,14,3,62.0,19.0,27.0,28.0,9.0,30.0,2.0,16.0,2019.0,607950.0,1.93,15.88,14.18,62316.0,1.5,5.2,3.9,6.2,84.4,79.9,,,8.0,0.3,3.4,,,3.0,102501.85048112509,82.15,49.8158683,6.1296751,Europe
United Kingdom,15,16,52.0,42.0,9.0,63.0,15.0,4.0,23.0,24.0,2019.0,267663435.0,1.13,26.55,5.86,1015539.0,5.1,4.4,3.6,3.1,73.75,69.38,,,316.0,0.4,25.0,,,0.4,3794.0893943918786,71.565,54.7023545,-3.2765753,Europe
Ireland,16,34,33.0,32.0,6.0,33.0,10.0,9.0,6.0,20.0,2019.0,4867309.0,1.24,21.41,13.87,331430.0,7.8,6.0,3.8,7.4,84.4,80.9,,,7.0,0.2,3.4,,,3.1,68093.0674423999,82.65,52.865196,-7.9794599,Europe
Germany,17,17,65.0,30.0,39.0,44.0,17.0,19.0,17.0,25.0,2019.0,82905782.0,0.3,13.62,21.46,3693204.0,2.2,3.6,4.8,11.1,83.4,78.7,,,7.3,0.1,3.4,,,4.2,44547.001558950375,81.05000000000001,51.1638175,10.4478313,Europe
Belgium,18,7,57.0,53.0,22.0,53.0,20.0,44.0,21.0,26.0,2019.0,11433256.0,0.51,17.06,18.79,494764.0,1.7,6.4,6.6,10.0,83.9,79.4,,,9.0,,3.5,,,3.3,43274.11194151518,81.65,50.6402809,4.6667145,Europe
United States,19,49,35.0,70.0,37.0,62.0,42.0,12.0,10.0,39.0,2019.0,326687501.0,0.52,18.71,15.81,19485394.0,2.2,4.1,5.0,17.1,81.1,76.1,,,3.0,,6.0,,,2.6,59645.361210192124,78.6,39.7837304,-100.445882,North America
Czech Republic,20,20,74.0,22.0,24.0,58.0,121.0,117.0,32.0,31.0,2019.0,10627165.0,1.08,27.98,7.08,75932.0,4.6,5.5,4.496969696969698,6.2,77.2,70.81,,,45.0,0.9,27.5,,,1.6,7145.085260274024,74.005,49.7439047,15.3381061,Europe
United Arab Emirates,21,65,43.0,56.0,72.0,4.0,,15.0,4.0,60.0,2019.0,9630959.0,1.5,14.6,1.09,382575.0,0.8,1.7,4.496969696969698,3.5,79.16,77.13,,,1.0,,6.5,,,2.4,39723.45848424856,78.145,24.0002488,53.9994829,Asia
Malta,22,42,83.0,103.0,16.0,12.0,32.0,5.0,28.0,19.0,2019.0,484630.0,3.49,14.28,20.35,12553.0,6.7,3.8,5.3,9.3,84.6,80.2,,,14.0,,5.5,,,3.8,25902.234694509214,82.4,35.8885993,14.4476911,Europe
Mexico,23,76,6.0,40.0,67.0,71.0,87.0,120.0,57.0,46.0,2019.0,126190788.0,1.13,26.56,7.22,1158229.0,2.1,3.3,5.2,5.5,77.84,72.12,,,23.0,0.2,15.2,,,2.2,9178.39581126952,74.98,23.6585116,-102.0077097,North America
France,24,19,56.0,66.0,32.0,69.0,21.0,68.0,25.0,5.0,2019.0,66977107.0,0.17,17.96,20.03,2582492.0,2.2,8.6,5.5,11.5,85.6,79.6,,,8.9,0.3,3.5,,,3.2,38557.83140946951,82.6,46.603354,1.8883335,Europe
Taiwan,25,37,17.0,1.0,48.0,102.0,56.0,56.0,76.5,,2019.0,69428524.0,0.32,17.09,11.9,455303.0,3.9,1.4,4.1,3.7,80.7,73.23,,,153.0,1.1,10.1,,,0.8,6557.866619777197,76.965,23.9739374,120.9820179,Africa
Chile,26,61,15.0,78.0,58.0,98.0,99.0,45.0,49.0,30.0,2019.0,18729160.0,1.39,19.75,11.53,277081.0,1.5,7.1,5.4,8.5,82.38,77.55,,,18.0,0.5,7.2,,,1.1,14794.096478432562,79.965,-31.7613365,-71.3187697,South America
Guatemala,27,136,8.0,85.0,78.0,25.0,82.0,78.0,99.0,85.0,2019.0,17247807.0,1.95,34.44,4.81,75620.0,2.8,2.6,2.8,5.8,76.94,71.12,,,26.0,0.4,26.9,,,0.4,4384.3254971487095,74.03,15.5855545,-90.345759,North America
Saudi Arabia,28,93,49.0,82.0,62.0,68.0,,82.0,11.0,74.0,2019.0,33699947.0,1.8,25.04,3.31,683827.0,-0.7,5.3,4.496969696969698,5.7,76.61,73.8,,,10.0,,8.7,,,2.4,20291.634286546505,75.205,25.6242618,42.3528328,Asia
Qatar,29,86,,,,,,,1.0,43.0,2019.0,2781677.0,2.07,13.54,1.37,167605.0,1.6,0.1,2.9,3.1,81.88,78.98,,,31.0,,7.3,,,0.0,60253.2213481292,80.43,25.3336984,51.2295295,Asia
Spain,30,21,107.0,107.0,26.0,95.0,78.0,50.0,30.0,3.0,2019.0,46796540.0,0.44,14.67,19.38,1314314.0,3.0,13.4,4.3,9.0,86.1,80.7,,,9.4,0.3,2.9,,,4.1,28085.708900700778,83.4,39.3260685,-4.8379791,Europe
Panama,31,121,7.0,48.0,41.0,32.0,104.0,88.0,51.0,33.0,2019.0,4176873.0,1.69,27.06,8.1,61838.0,5.4,4.7,3.2,7.3,81.59,75.24,,,52.0,0.9,16.0,,,1.6,14804.855211063395,78.41499999999999,8.559559,-81.1308434,North America
Brazil,32,116,69.0,105.0,43.0,84.0,71.0,108.0,70.0,72.0,2019.0,209469333.0,0.78,21.33,8.92,2055512.0,1.0,11.6,6.2,11.8,79.36,72.02,,,45.0,0.5,15.8,,,2.1,9812.949564316414,75.69,-10.3333333,-53.2,South America
Uruguay,33,88,10.0,76.0,35.0,30.0,33.0,80.0,52.0,35.0,2019.0,3449299.0,0.37,20.61,14.81,59180.0,2.7,8.2,4.4,9.1,81.36,73.96,,,33.0,0.6,10.0,,,5.0,17157.109314095414,77.66,-32.8755548,-56.0201525,South America
Singapore,34,5,38.0,2.0,36.0,20.0,1.0,21.0,3.0,1.0,2019.0,5638676.0,0.47,12.28,11.46,323901.0,3.6,1.7,2.9,4.5,85.4,81.0,,,47.0,0.2,2.1,,,2.3,57442.74010423724,83.2,1.357107,103.8194992,Asia
El Salvador,35,112,23.0,84.0,83.0,74.0,85.0,134.0,100.0,75.0,2019.0,6420744.0,0.51,27.13,8.29,24805.0,2.3,4.6,3.8,7.0,77.64,68.23,,,70.0,0.6,17.7,,,1.6,3863.2594602743857,72.935,13.8000382,-88.9140683,North America
Italy,36,31,99.0,123.0,23.0,132.0,128.0,48.0,29.0,7.0,2019.0,60421760.0,-0.19,13.33,22.75,1943835.0,1.6,10.4,4.1,8.9,85.2,80.8,,,7.0,0.3,3.0,,,4.1,32171.10855426919,83.0,42.6384261,12.674297,Europe
Bahrain,37,83,39.0,83.0,59.0,24.0,,23.0,20.0,42.0,2019.0,1569439.0,4.92,19.25,2.43,35326.0,3.8,1.2,2.3,4.9,78.28,76.31,,,11.0,,6.9,,,0.9,22508.67985311949,77.295,26.1551249,50.5344606,Asia
